image_name,point_name,posX,posY,dX,dY
20250220_Galvano-Full-Plate (Series 0),B2_1,42151.1,-22766.5,42151.100000000006,-22766.5
20250220_Galvano-Full-Plate (Series 1),B2_2,41225.0,-22449.5,41225.0,-22449.5
20250220_Galvano-Full-Plate (Series 2),B2_3,41365.7,-21952.4,41365.700000000004,-21952.4
20250220_Galvano-Full-Plate (Series 3),C2_1,40293.8,-13686.6,40293.8,-13686.6
20250220_Galvano-Full-Plate (Series 4),C2_2,40339.1,-11346.8,40339.100000000006,-11346.800000000001
20250220_Galvano-Full-Plate (Series 5),C2_3,39000.4,-11719.0,39000.4,-11719.0
20250220_Galvano-Full-Plate (Series 6),D2_1,41159.7,-4477.3,41159.700000000004,-4477.3
20250220_Galvano-Full-Plate (Series 7),D2_2,41577.1,-2551.5,41577.100000000006,-2551.5
20250220_Galvano-Full-Plate (Series 8),D2_3,38947.2,-2794.1,38947.200000000004,-2794.1000000000004
20250220_Galvano-Full-Plate (Series 9),E2_1,40389.6,4829.5,40389.600000000006,4829.5
20250220_Galvano-Full-Plate (Series 10),E2_2,41157.4,4672.5,41157.4,4672.5
20250220_Galvano-Full-Plate (Series 11),E2_3,42354.0,5574.1,42354.0,5574.1
20250220_Galvano-Full-Plate (Series 12),F2_1,39484.2,14312.0,39484.200000000004,14312.0
20250220_Galvano-Full-Plate (Series 13),F2_2,39096.7,15147.0,39096.700000000004,15147.0
20250220_Galvano-Full-Plate (Series 14),F2_3,40666.7,15376.3,40666.700000000004,15376.300000000001
20250220_Galvano-Full-Plate (Series 15),B3_1,32581.8,-22678.7,32581.800000000003,-22678.7
20250220_Galvano-Full-Plate (Series 16),B3_2,33403.2,-22337.6,33403.200000000004,-22337.600000000002
20250220_Galvano-Full-Plate (Series 17),B3_3,31548.5,-20729.3,31548.5,-20729.300000000003
20250220_Galvano-Full-Plate (Series 18),C3_1,32033.5,-13499.9,32033.5,-13499.900000000001
20250220_Galvano-Full-Plate (Series 19),C3_2,31556.1,-11634.6,31556.100000000002,-11634.6
20250220_Galvano-Full-Plate (Series 20),C3_3,30136.0,-11804.9,30136.0,-11804.900000000001
20250220_Galvano-Full-Plate (Series 21),D3_1,31347.0,-5105.3,31347.0,-5105.3
20250220_Galvano-Full-Plate (Series 22),D3_2,30362.1,-4664.2,30362.100000000002,-4664.2
20250220_Galvano-Full-Plate (Series 23),D3_3,29575.7,-3901.6,29575.7,-3901.6000000000004
20250220_Galvano-Full-Plate (Series 24),E3_1,30928.2,4715.1,30928.2,4715.1
20250220_Galvano-Full-Plate (Series 25),E3_2,30088.6,4821.7,30088.600000000002,4821.7
20250220_Galvano-Full-Plate (Series 26),E3_3,29123.0,4621.3,29123.0,4621.3
20250220_Galvano-Full-Plate (Series 27),F3_1,30464.0,13968.2,30464.0,13968.2
20250220_Galvano-Full-Plate (Series 28),F3_2,29709.5,14107.6,29709.5,14107.6
20250220_Galvano-Full-Plate (Series 28),F3_3,29709.5,14107.6,29709.5,14107.6
20250220_Galvano-Full-Plate (Series 29),F3_2,29709.5,14107.6,29709.5,14107.6
20250220_Galvano-Full-Plate (Series 29),F3_3,29709.5,14107.6,29709.5,14107.6
20250220_Galvano-Full-Plate (Series 30),B5_1,13763.4,-22886.1,13763.400000000001,-22886.100000000002
20250220_Galvano-Full-Plate (Series 31),B5_2,12820.4,-23428.4,12820.400000000001,-23428.4
20250220_Galvano-Full-Plate (Series 32),B5_3,12503.5,-24139.2,12503.5,-24139.2
20250220_Galvano-Full-Plate (Series 33),C5_1,13517.5,-13365.4,13517.5,-13365.400000000001
20250220_Galvano-Full-Plate (Series 34),C5_2,12345.6,-13724.4,12345.6,-13724.400000000001
20250220_Galvano-Full-Plate (Series 35),C5_3,12180.5,-14617.9,12180.5,-14617.900000000001
20250220_Galvano-Full-Plate (Series 36),D5_1,13032.5,-4327.6,13032.5,-4327.6
20250220_Galvano-Full-Plate (Series 37),D5_2,13199.9,-5149.9,13199.900000000001,-5149.900000000001
20250220_Galvano-Full-Plate (Series 38),D5_3,13088.1,-6125.0,13088.1,-6125.0
20250220_Galvano-Full-Plate (Series 39),E5_1,12668.8,5181.1,12668.800000000001,5181.1
20250220_Galvano-Full-Plate (Series 40),E5_2,12408.7,5672.5,12408.7,5672.5
20250220_Galvano-Full-Plate (Series 41),E5_3,11988.4,5957.4,11988.400000000001,5957.400000000001
20250220_Galvano-Full-Plate (Series 42),F5_1,11929.1,14119.3,11929.1,14119.300000000001
20250220_Galvano-Full-Plate (Series 43),F5_2,11944.6,14779.1,11944.6,14779.1
20250220_Galvano-Full-Plate (Series 44),F5_3,12919.3,15338.7,12919.300000000001,15338.7
20250220_Galvano-Full-Plate (Series 45),B6_1,4779.7,-22452.2,4779.7,-22452.2
20250220_Galvano-Full-Plate (Series 46),B6_2,4090.5,-22234.0,4090.5,-22234.0
20250220_Galvano-Full-Plate (Series 47),B6_3,2637.3,-21545.6,2637.3,-21545.600000000002
20250220_Galvano-Full-Plate (Series 48),C6_1,3688.3,-13200.4,3688.3,-13200.400000000001
20250220_Galvano-Full-Plate (Series 49),C6_2,2850.2,-13335.7,2850.2000000000003,-13335.7
20250220_Galvano-Full-Plate (Series 50),C6_3,2020.9,-14022.7,2020.9,-14022.7
20250220_Galvano-Full-Plate (Series 51),D6_1,3741.6,-4124.5,3741.6000000000004,-4124.5
20250220_Galvano-Full-Plate (Series 52),D6_2,3120.3,-3728.9,3120.3,-3728.9
20250220_Galvano-Full-Plate (Series 53),D6_3,3773.6,-2813.7,3773.6000000000004,-2813.7000000000003
20250220_Galvano-Full-Plate (Series 54),E6_1,2993.6,5036.8,2993.6000000000004,5036.8
20250220_Galvano-Full-Plate (Series 55),E6_2,2399.8,4896.9,2399.8,4896.900000000001
20250220_Galvano-Full-Plate (Series 56),E6_3,2122.8,4113.4,2122.8,4113.400000000001
20250220_Galvano-Full-Plate (Series 57),F6_1,2662.0,14194.8,2662.0,14194.800000000001
20250220_Galvano-Full-Plate (Series 58),F6_2,3006.5,14718.9,3006.5,14718.900000000001
20250220_Galvano-Full-Plate (Series 59),F6_3,3980.1,15143.7,3980.1000000000004,15143.7
20250220_Galvano-Full-Plate (Series 60),B8_1,-13754.9,-22301.1,-13754.900000000001,-22301.100000000002
20250220_Galvano-Full-Plate (Series 61),B8_2,-13600.4,-21453.3,-13600.400000000001,-21453.300000000003
20250220_Galvano-Full-Plate (Series 62),B8_3,-13944.4,-20608.4,-13944.400000000001,-20608.4
20250220_Galvano-Full-Plate (Series 63),C8_1,-13560.3,-13072.3,-13560.300000000001,-13072.300000000001
20250220_Galvano-Full-Plate (Series 64),C8_2,-12689.1,-12526.2,-12689.1,-12526.2
20250220_Galvano-Full-Plate (Series 65),C8_3,-11995.5,-12314.8,-11995.5,-12314.800000000001
20250220_Galvano-Full-Plate (Series 66),D8_1,-15485.4,-3244.9,-15485.400000000001,-3244.9
20250220_Galvano-Full-Plate (Series 67),D8_2,-13823.9,-2503.3,-13823.900000000001,-2503.3
20250220_Galvano-Full-Plate (Series 68),D8_3,-12223.5,-3363.9,-12223.5,-3363.9
20250220_Galvano-Full-Plate (Series 69),E8_1,-15560.5,5599.7,-15560.5,5599.700000000001
20250220_Galvano-Full-Plate (Series 70),E8_2,-14677.3,6209.0,-14677.300000000001,6209.0
20250220_Galvano-Full-Plate (Series 71),E8_3,-13958.8,6320.8,-13958.800000000001,6320.8
20250220_Galvano-Full-Plate (Series 72),F8_1,-14728.1,15214.4,-14728.1,15214.400000000001
20250220_Galvano-Full-Plate (Series 73),F8_2,-14010.5,15159.8,-14010.5,15159.800000000001
20250220_Galvano-Full-Plate (Series 74),F8_3,-12996.3,14334.6,-12996.300000000001,14334.6
20250220_Galvano-Full-Plate (Series 75),B9_1,-23238.5,-22237.3,-23238.5,-22237.300000000003
20250220_Galvano-Full-Plate (Series 76),B9_2,-23848.8,-22238.8,-23848.800000000003,-22238.800000000003
20250220_Galvano-Full-Plate (Series 77),B9_3,-24327.6,-21706.8,-24327.600000000002,-21706.800000000003
20250220_Galvano-Full-Plate (Series 78),C9_1,-24513.4,-12552.0,-24513.4,-12552.0
20250220_Galvano-Full-Plate (Series 79),C9_2,-24710.3,-13021.8,-24710.300000000003,-13021.800000000001
20250220_Galvano-Full-Plate (Series 80),C9_3,-24652.4,-13598.2,-24652.4,-13598.2
20250220_Galvano-Full-Plate (Series 81),D9_1,-24689.4,-4106.5,-24689.4,-4106.5
20250220_Galvano-Full-Plate (Series 82),D9_2,-24806.2,-4685.8,-24806.2,-4685.8
20250220_Galvano-Full-Plate (Series 83),D9_3,-24480.7,-5482.0,-24480.7,-5482.0
20250220_Galvano-Full-Plate (Series 84),E9_1,-24455.5,5136.7,-24455.5,5136.700000000001
20250220_Galvano-Full-Plate (Series 85),E9_2,-24353.9,4061.4,-24353.9,4061.4
20250220_Galvano-Full-Plate (Series 86),E9_3,-24506.5,3036.6,-24506.5,3036.6000000000004
20250220_Galvano-Full-Plate (Series 87),F9_1,-24757.6,13841.5,-24757.600000000002,13841.5
20250220_Galvano-Full-Plate (Series 88),F9_2,-24753.1,13161.9,-24753.100000000002,13161.900000000001
20250220_Galvano-Full-Plate (Series 89),F9_3,-23513.8,12946.5,-23513.800000000003,12946.5
